,LOT,Date,Equipment,Die_Number,Injection_Velocity_1,Injection_Velocity_2,Injection_Velocity_3,Spray_Time_1,Spray_Time_2,Humidity,Temperature,Casting_Pressure,Pressure_Increase_Time,Short_Shot,Ejection_Pin_Burr,Soldering,Shrinkage,Stain,Corepin_Soldering,Crack
0,180102-021-0101,2018-01-02,021,0101,0.12,0.22,0.368,0.2,0.3,19.993,15.598,680,0.041,3,0,0,0,0,0,0
1,180102-021-0101,2018-01-02,021,0101,0.106,0.216,0.357,0.2,0.3,18.778,14.997,678,0.043,3,0,0,0,0,0,0
2,180102-021-0101,2018-01-02,021,0101,0.085,0.222,0.371,0.2,0.3,20.33,15.835,680,0.043,3,0,0,0,0,0,0
3,180102-021-0101,2018-01-02,021,0101,0.08,0.208,0.349,0.2,0.3,18.382,14.841,324,0.0,3,0,0,0,0,0,0
4,180102-021-0101,2018-01-02,021,0101,0.106,0.214,0.36,0.2,0.3,18.961,15.028,677,0.043,3,0,0,0,0,0,0
5,180102-021-0101,2018-01-02,021,0101,0.106,0.212,0.355,0.2,0.3,18.464,14.898,678,0.043,3,0,0,0,0,0,0
6,180102-021-0101,2018-01-02,021,0101,0.118,0.218,0.368,0.2,0.3,20.115,15.614,679,0.041,3,0,0,0,0,0,0
7,180102-021-0101,2018-01-02,021,0101,0.098,0.218,0.368,0.2,0.3,19.993,15.598,679,0.043,3,0,0,0,0,0,0
8,180102-021-0101,2018-01-02,021,0101,0.102,0.216,0.355,0.2,0.3,18.396,14.893,676,0.045,3,0,0,0,0,0,0
9,180102-021-0101,2018-01-02,021,0101,0.112,0.216,0.368,0.2,0.3,19.85,15.565,679,0.045,3,0,0,0,0,0,0
10,180102-021-0101,2018-01-02,021,0101,0.104,0.212,0.36,0.2,0.3,18.594,14.988,678,0.043,3,0,0,0,0,0,0
11,180102-021-0101,2018-01-02,021,0101,0.116,0.22,0.373,0.2,0.3,20.395,15.899,679,0.041,3,0,0,0,0,0,0
12,180102-021-0101,2018-01-02,021,0101,0.12,0.224,0.365,0.2,0.3,20.115,15.614,679,0.041,3,0,0,0,0,0,0
13,180102-021-0101,2018-01-02,021,0101,0.076,0.216,0.36,0.2,0.3,19.699,15.15,678,0.041,3,0,0,0,0,0,0
14,180102-021-0101,2018-01-02,021,0101,0.112,0.216,0.36,0.1,0.3,19.624,15.099,678,0.043,3,0,0,0,0,0,0
15,180102-021-0101,2018-01-02,021,0101,0.116,0.22,0.368,0.2,0.3,19.699,15.193,678,0.041,3,0,0,0,0,0,0
16,180102-021-0101,2018-01-02,021,0101,0.108,0.222,0.365,0.2,0.3,19.697,15.099,678,0.043,3,0,0,0,0,0,0
17,180102-021-0101,2018-01-02,021,0101,0.118,0.218,0.368,0.2,0.3,19.85,15.565,678,0.041,3,0,0,0,0,0,0
18,180102-021-0101,2018-01-02,021,0101,0.118,0.218,0.368,0.2,0.3,19.874,15.305,680,0.043,3,0,0,0,0,0,0
19,180102-021-0101,2018-01-02,021,0101,0.102,0.22,0.36,0.1,0.3,19.624,15.099,323,0.0,3,0,0,0,0,0,0
20,180102-021-0101,2018-01-02,021,0101,0.118,0.222,0.376,0.2,0.3,20.33,15.835,680,0.043,3,0,0,0,0,0,0
21,180102-021-0101,2018-01-02,021,0101,0.115,0.216,0.365,0.2,0.3,19.735,15.198,678,0.041,3,0,0,0,0,0,0
22,180102-021-0101,2018-01-02,021,0101,0.114,0.214,0.36,0.2,0.3,18.961,15.028,678,0.041,3,0,0,0,0,0,0
23,180102-021-0101,2018-01-02,021,0101,0.116,0.219,0.368,0.2,0.3,19.881,15.25,678,0.043,3,0,0,0,0,0,0
24,180102-021-0101,2018-01-02,021,0101,0.086,0.216,0.36,0.2,0.3,19.699,15.15,678,0.044,3,0,0,0,0,0,0
25,180102-021-0101,2018-01-02,021,0101,0.117,0.218,0.36,0.2,0.3,19.699,15.193,679,0.045,3,0,0,0,0,0,0
26,180102-021-0101,2018-01-02,021,0101,0.118,0.224,0.376,0.2,0.3,20.364,15.897,679,0.044,3,0,0,0,0,0,0
27,180102-021-0101,2018-01-02,021,0101,0.12,0.224,0.373,0.2,0.3,19.998,15.599,679,0.043,3,0,0,0,0,0,0
28,180102-021-0101,2018-01-02,021,0101,0.109,0.221,0.36,0.2,0.3,19.819,15.199,677,0.041,3,0,0,0,0,0,0
29,180102-021-0101,2018-01-02,021,0101,0.115,0.221,0.363,0.2,0.3,19.696,15.41,679,0.043,3,0,0,0,0,0,0
30,180102-021-0101,2018-01-02,021,0101,0.096,0.208,0.349,0.2,0.3,18.277,14.788,303,0.0,3,0,0,0,0,0,0
31,180102-021-0101,2018-01-02,021,0101,0.1,0.218,0.368,0.2,0.3,20.361,15.764,679,0.041,3,0,0,0,0,0,0
32,180102-021-0101,2018-01-02,021,0101,0.094,0.206,0.352,0.2,0.3,18.51,14.914,677,0.047,3,0,0,0,0,0,0
33,180102-021-0101,2018-01-02,021,0101,0.094,0.211,0.36,0.1,0.3,19.624,15.099,324,0.0,3,0,0,0,0,0,0
34,180102-021-0101,2018-01-02,021,0101,0.12,0.224,0.373,0.2,0.3,20.481,15.795,679,0.041,3,0,0,0,0,0,0
35,180102-021-0101,2018-01-02,021,0101,0.108,0.216,0.363,0.2,0.3,19.735,15.198,679,0.045,3,0,0,0,0,0,0
36,180102-021-0101,2018-01-02,021,0101,0.112,0.222,0.365,0.2,0.3,20.33,15.835,679,0.045,3,0,0,0,0,0,0
37,180102-021-0101,2018-01-02,021,0101,0.122,0.224,0.371,0.2,0.3,19.993,15.598,679,0.041,3,0,0,0,0,0,0
38,180102-021-0101,2018-01-02,021,0101,0.122,0.222,0.379,0.2,0.3,20.512,15.798,679,0.041,3,0,0,0,0,0,0
39,180102-021-0101,2018-01-02,021,0101,0.118,0.224,0.373,0.2,0.3,20.395,15.899,679,0.041,3,0,0,0,0,0,0
40,180102-021-0101,2018-01-02,021,0101,0.092,0.219,0.376,0.2,0.3,20.25,15.89,680,0.043,3,0,0,0,0,0,0
41,180102-021-0101,2018-01-02,021,0101,0.078,0.214,0.365,0.2,0.3,19.735,15.198,678,0.041,3,0,0,0,0,0,0
42,180102-021-0101,2018-01-02,021,0101,0.093,0.213,0.355,0.2,0.3,18.464,14.898,678,0.045,3,0,0,0,0,0,0
43,180102-021-0101,2018-01-02,021,0101,0.12,0.217,0.368,0.2,0.3,19.998,15.599,679,0.041,3,0,0,0,0,0,0
44,180102-021-0101,2018-01-02,021,0101,0.1,0.219,0.363,0.2,0.3,19.882,15.372,680,0.041,3,0,0,0,0,0,0
45,180102-021-0101,2018-01-02,021,0101,0.102,0.216,0.363,0.2,0.3,18.594,14.988,678,0.04,3,0,0,0,0,0,0
46,180102-021-0101,2018-01-02,021,0101,0.114,0.224,0.371,0.2,0.3,20.481,15.795,679,0.041,3,0,0,0,0,0,0
47,180102-021-0101,2018-01-02,021,0101,0.074,0.211,0.36,0.2,0.3,18.961,15.028,679,0.043,3,0,0,0,0,0,0
48,180102-021-0101,2018-01-02,021,0101,0.112,0.222,0.371,0.2,0.3,20.115,15.614,679,0.041,3,0,0,0,0,0,0
49,180102-021-0101,2018-01-02,021,0101,0.104,0.221,0.365,0.2,0.3,20.25,15.89,679,0.043,3,0,0,0,0,0,0
50,180102-021-0102,2018-01-02,021,0102,0.093,0.226,0.379,0.2,0.3,20.442,17.401,680,0.043,3,0,0,0,0,0,0
51,180102-021-0102,2018-01-02,021,0102,0.094,0.23,0.376,0.2,0.3,20.446,17.301,680,0.041,3,0,0,0,0,0,0
52,180102-021-0102,2018-01-02,021,0102,0.096,0.23,0.379,0.2,0.3,20.428,17.201,679,0.041,3,0,0,0,0,0,0
53,180102-021-0102,2018-01-02,021,0102,0.096,0.228,0.379,0.2,0.3,20.402,17.207,680,0.043,3,0,0,0,0,0,0
54,180102-021-0102,2018-01-02,021,0102,0.099,0.228,0.376,0.2,0.3,20.572,17.202,680,0.041,3,0,0,0,0,0,0
55,180102-021-0102,2018-01-02,021,0102,0.096,0.23,0.376,0.2,0.3,20.442,17.401,680,0.041,3,0,0,0,0,0,0
56,180102-021-0102,2018-01-02,021,0102,0.094,0.232,0.376,0.2,0.3,20.852,17.101,679,0.045,3,0,0,0,0,0,0
57,180102-021-0102,2018-01-02,021,0102,0.1,0.229,0.381,0.2,0.3,20.807,17.129,680,0.041,3,0,0,0,0,0,0
58,180102-021-0102,2018-01-02,021,0102,0.098,0.23,0.371,0.2,0.3,20.399,17.202,680,0.042,3,0,0,0,0,0,0
59,180102-021-0102,2018-01-02,021,0102,0.092,0.232,0.376,0.2,0.3,20.509,17.401,681,0.041,3,0,0,0,0,0,0
60,180102-021-0102,2018-01-02,021,0102,0.102,0.232,0.379,0.2,0.3,20.37,17.298,680,0.042,3,0,0,0,0,0,0
61,180102-021-0102,2018-01-02,021,0102,0.098,0.23,0.376,0.2,0.3,20.339,17.218,680,0.043,3,0,0,0,0,0,0
