,Injection_Velocity_1,Injection_Velocity_2,Injection_Velocity_3,Spray_Time_1,Spray_Time_2,Humidity,Temperature,Casting_Pressure,Pressure_Increase_Time
0,0.12,0.22,0.368,0.2,0.3,19.993,15.598,680,0.041
1,0.106,0.216,0.357,0.2,0.3,18.778,14.997,678,0.043
2,0.085,0.222,0.371,0.2,0.3,20.33,15.835,680,0.043
3,0.08,0.208,0.349,0.2,0.3,18.382,14.841,324,0.0
4,0.106,0.214,0.36,0.2,0.3,18.961,15.028,677,0.043
5,0.106,0.212,0.355,0.2,0.3,18.464,14.898,678,0.043
6,0.118,0.218,0.368,0.2,0.3,20.115,15.614,679,0.041
7,0.098,0.218,0.368,0.2,0.3,19.993,15.598,679,0.043
8,0.102,0.216,0.355,0.2,0.3,18.396,14.893,676,0.045
9,0.112,0.216,0.368,0.2,0.3,19.85,15.565,679,0.045
10,0.104,0.212,0.36,0.2,0.3,18.594,14.988,678,0.043
11,0.116,0.22,0.373,0.2,0.3,20.395,15.899,679,0.041
12,0.12,0.224,0.365,0.2,0.3,20.115,15.614,679,0.041
13,0.076,0.216,0.36,0.2,0.3,19.699,15.15,678,0.041
14,0.112,0.216,0.36,0.1,0.3,19.624,15.099,678,0.043
15,0.116,0.22,0.368,0.2,0.3,19.699,15.193,678,0.041
16,0.108,0.222,0.365,0.2,0.3,19.697,15.099,678,0.043
17,0.118,0.218,0.368,0.2,0.3,19.85,15.565,678,0.041
18,0.118,0.218,0.368,0.2,0.3,19.874,15.305,680,0.043
19,0.102,0.22,0.36,0.1,0.3,19.624,15.099,323,0.0
20,0.118,0.222,0.376,0.2,0.3,20.33,15.835,680,0.043
21,0.115,0.216,0.365,0.2,0.3,19.735,15.198,678,0.041
22,0.114,0.214,0.36,0.2,0.3,18.961,15.028,678,0.041
23,0.116,0.219,0.368,0.2,0.3,19.881,15.25,678,0.043
24,0.086,0.216,0.36,0.2,0.3,19.699,15.15,678,0.044
25,0.117,0.218,0.36,0.2,0.3,19.699,15.193,679,0.045
26,0.118,0.224,0.376,0.2,0.3,20.364,15.897,679,0.044
27,0.12,0.224,0.373,0.2,0.3,19.998,15.599,679,0.043
28,0.109,0.221,0.36,0.2,0.3,19.819,15.199,677,0.041
29,0.115,0.221,0.363,0.2,0.3,19.696,15.41,679,0.043
30,0.096,0.208,0.349,0.2,0.3,18.277,14.788,303,0.0
31,0.1,0.218,0.368,0.2,0.3,20.361,15.764,679,0.041
32,0.094,0.206,0.352,0.2,0.3,18.51,14.914,677,0.047
33,0.094,0.211,0.36,0.1,0.3,19.624,15.099,324,0.0
34,0.12,0.224,0.373,0.2,0.3,20.481,15.795,679,0.041
35,0.108,0.216,0.363,0.2,0.3,19.735,15.198,679,0.045
36,0.112,0.222,0.365,0.2,0.3,20.33,15.835,679,0.045
37,0.122,0.224,0.371,0.2,0.3,19.993,15.598,679,0.041
38,0.122,0.222,0.379,0.2,0.3,20.512,15.798,679,0.041
39,0.118,0.224,0.373,0.2,0.3,20.395,15.899,679,0.041
40,0.092,0.219,0.376,0.2,0.3,20.25,15.89,680,0.043
41,0.078,0.214,0.365,0.2,0.3,19.735,15.198,678,0.041
42,0.093,0.213,0.355,0.2,0.3,18.464,14.898,678,0.045
43,0.12,0.217,0.368,0.2,0.3,19.998,15.599,679,0.041
44,0.1,0.219,0.363,0.2,0.3,19.882,15.372,680,0.041
45,0.102,0.216,0.363,0.2,0.3,18.594,14.988,678,0.04
46,0.114,0.224,0.371,0.2,0.3,20.481,15.795,679,0.041
47,0.074,0.211,0.36,0.2,0.3,18.961,15.028,679,0.043
48,0.112,0.222,0.371,0.2,0.3,20.115,15.614,679,0.041
49,0.104,0.221,0.365,0.2,0.3,20.25,15.89,679,0.043
50,0.093,0.226,0.379,0.2,0.3,20.442,17.401,680,0.043
51,0.094,0.23,0.376,0.2,0.3,20.446,17.301,680,0.041
52,0.096,0.23,0.379,0.2,0.3,20.428,17.201,679,0.041
53,0.096,0.228,0.379,0.2,0.3,20.402,17.207,680,0.043
54,0.099,0.228,0.376,0.2,0.3,20.572,17.202,680,0.041
55,0.096,0.23,0.376,0.2,0.3,20.442,17.401,680,0.041
56,0.094,0.232,0.376,0.2,0.3,20.852,17.101,679,0.045
57,0.1,0.229,0.381,0.2,0.3,20.807,17.129,680,0.041
58,0.098,0.23,0.371,0.2,0.3,20.399,17.202,680,0.042
59,0.092,0.232,0.376,0.2,0.3,20.509,17.401,681,0.041
60,0.102,0.232,0.379,0.2,0.3,20.37,17.298,680,0.042
61,0.098,0.23,0.376,0.2,0.3,20.339,17.218,680,0.043
62,0.094,0.232,0.379,0.2,0.3,20.43,17.401,680,0.043
63,0.11,0.228,0.379,0.2,0.3,20.359,17.301,680,0.041
64,0.104,0.23,0.373,0.2,0.3,20.402,17.207,680,0.042
65,0.094,0.23,0.376,0.2,0.3,20.509,17.401,680,0.045
66,0.101,0.23,0.371,0.2,0.3,20.619,17.103,680,0.041
67,0.098,0.23,0.371,0.2,0.3,20.339,17.218,680,0.043
68,0.1,0.228,0.371,0.2,0.3,20.402,17.379,680,0.041
69,0.096,0.227,0.376,0.2,0.3,20.51,17.203,679,0.041
70,0.102,0.226,0.371,0.2,0.3,20.715,17.105,680,0.041
71,0.1,0.228,0.373,0.2,0.3,20.715,17.105,679,0.039
72,0.098,0.23,0.373,0.2,0.3,20.483,17.201,680,0.041
73,0.098,0.228,0.376,0.2,0.3,20.477,17.201,680,0.043
74,0.102,0.229,0.373,0.2,0.3,20.619,17.103,679,0.043
75,0.108,0.228,0.371,0.2,0.3,20.715,17.105,679,0.043
76,0.094,0.232,0.376,0.2,0.3,20.509,17.401,680,0.043
77,0.1,0.23,0.373,0.2,0.3,20.397,17.293,680,0.041
78,0.094,0.23,0.376,0.2,0.3,20.43,17.401,681,0.041
79,0.094,0.228,0.376,0.2,0.3,20.359,17.301,680,0.041
80,0.108,0.227,0.373,0.2,0.3,20.51,17.203,679,0.041
81,0.094,0.23,0.373,0.2,0.3,20.454,17.401,680,0.041
82,0.096,0.23,0.37,0.2,0.3,20.43,17.401,679,0.041
83,0.094,0.23,0.373,0.2,0.3,20.401,17.318,680,0.041
84,0.096,0.23,0.379,0.2,0.3,20.401,17.318,680,0.041
85,0.11,0.228,0.371,0.2,0.3,20.399,17.202,680,0.045
86,0.099,0.23,0.376,0.2,0.3,20.374,17.299,679,0.045
87,0.094,0.232,0.376,0.2,0.3,20.807,17.129,680,0.041
88,0.102,0.226,0.381,0.2,0.3,20.374,17.299,680,0.041
89,0.1,0.228,0.373,0.2,0.3,20.852,17.101,680,0.041
90,0.096,0.232,0.381,0.2,0.3,20.402,17.207,680,0.041
91,0.098,0.228,0.376,0.2,0.3,20.381,17.301,680,0.042
92,0.092,0.228,0.373,0.2,0.3,20.406,17.401,681,0.043
93,0.094,0.23,0.376,0.2,0.3,20.605,17.201,679,0.043
94,0.104,0.23,0.376,0.2,0.3,20.479,17.203,680,0.045
95,0.092,0.23,0.373,0.2,0.3,20.429,17.304,681,0.043
96,0.102,0.228,0.371,0.2,0.3,20.446,17.301,680,0.041
97,0.094,0.232,0.371,0.2,0.3,20.454,17.401,681,0.041
98,0.096,0.226,0.379,0.2,0.3,20.381,17.301,680,0.044
99,0.093,0.229,0.379,0.2,0.3,20.442,17.401,680,0.041
100,0.09,0.234,0.371,0.2,0.3,21.326,17.307,679,0.041
101,0.093,0.228,0.376,0.2,0.3,21.326,17.307,679,0.041
102,0.094,0.232,0.373,0.2,0.3,20.796,17.401,678,0.043
103,0.094,0.23,0.379,0.2,0.3,20.905,17.291,679,0.041
104,0.094,0.232,0.376,0.2,0.3,20.902,17.298,680,0.045
105,0.091,0.232,0.371,0.2,0.3,20.99,17.401,679,0.045
106,0.093,0.232,0.368,0.2,0.3,20.766,17.402,679,0.045
107,0.094,0.23,0.376,0.2,0.3,20.766,17.402,678,0.043
108,0.088,0.227,0.379,0.2,0.3,21.057,17.401,679,0.041
109,0.092,0.232,0.37,0.2,0.3,20.965,17.209,679,0.041
110,0.09,0.227,0.373,0.2,0.3,21.157,17.401,678,0.041
111,0.09,0.23,0.379,0.2,0.3,20.99,17.401,678,0.045
112,0.094,0.23,0.376,0.2,0.3,20.833,17.357,678,0.043
113,0.093,0.232,0.379,0.2,0.3,21.281,17.35,679,0.041
114,0.092,0.232,0.368,0.2,0.3,21.099,17.401,679,0.043
115,0.093,0.228,0.373,0.2,0.3,20.733,17.398,678,0.043
116,0.093,0.23,0.368,0.2,0.3,20.776,17.394,679,0.042
117,0.093,0.23,0.368,0.2,0.3,21.094,17.401,679,0.045
118,0.091,0.224,0.373,0.2,0.3,21.098,17.401,679,0.042
119,0.096,0.234,0.376,0.2,0.3,20.878,17.401,679,0.045
120,0.09,0.23,0.376,0.2,0.3,20.905,17.291,679,0.044
121,0.094,0.232,0.373,0.2,0.3,20.796,17.401,678,0.043
122,0.09,0.228,0.373,0.2,0.3,21.099,17.401,679,0.041
123,0.091,0.224,0.376,0.2,0.3,21.099,17.401,678,0.043
124,0.091,0.23,0.373,0.2,0.3,20.91,17.207,679,0.043
125,0.091,0.23,0.373,0.2,0.3,20.965,17.209,679,0.042
126,0.086,0.23,0.376,0.2,0.3,20.99,17.401,678,0.044
127,0.091,0.23,0.371,0.2,0.3,21.157,17.401,679,0.043
128,0.094,0.232,0.381,0.2,0.3,20.766,17.402,679,0.041
129,0.093,0.226,0.365,0.2,0.3,20.759,17.403,678,0.044
130,0.096,0.23,0.379,0.2,0.3,20.781,17.401,678,0.043
131,0.091,0.23,0.379,0.2,0.3,20.878,17.401,679,0.041
132,0.093,0.228,0.376,0.2,0.3,20.923,17.237,679,0.041
133,0.09,0.232,0.379,0.2,0.3,21.094,17.401,679,0.041
134,0.094,0.232,0.371,0.2,0.3,20.709,17.407,679,0.045
135,0.094,0.232,0.376,0.2,0.3,20.833,17.357,679,0.045
136,0.09,0.228,0.379,0.2,0.3,21.099,17.401,678,0.045
137,0.091,0.23,0.379,0.2,0.3,21.098,17.401,679,0.043
138,0.098,0.232,0.379,0.2,0.3,21.057,17.401,679,0.041
139,0.091,0.226,0.379,0.2,0.3,20.733,17.398,679,0.042
140,0.09,0.228,0.371,0.2,0.3,21.098,17.401,679,0.043
141,0.091,0.23,0.376,0.2,0.3,21.099,17.401,679,0.041
142,0.094,0.23,0.376,0.2,0.3,20.781,17.401,678,0.041
143,0.088,0.228,0.368,0.2,0.3,21.15,17.401,679,0.043
144,0.093,0.23,0.371,0.2,0.3,20.887,17.299,679,0.043
145,0.094,0.228,0.373,0.2,0.3,20.91,17.207,679,0.041
146,0.093,0.23,0.379,0.2,0.3,20.91,17.207,680,0.041
147,0.092,0.232,0.371,0.2,0.3,20.887,17.299,679,0.045
148,0.088,0.222,0.371,0.2,0.3,21.099,17.401,680,0.041
149,0.092,0.232,0.371,0.2,0.3,21.057,17.401,679,0.041
150,0.092,0.229,0.373,0.2,0.3,20.993,19.15,680,0.041
151,0.092,0.226,0.371,0.2,0.3,25.333,16.27,680,0.041
152,0.092,0.229,0.373,0.2,0.3,25.744,16.029,680,0.041
153,0.094,0.228,0.373,0.2,0.3,21.046,19.372,679,0.044
154,0.092,0.224,0.37,0.2,0.3,24.807,16.429,680,0.041
155,0.094,0.228,0.373,0.2,0.3,25.857,15.968,679,0.044
156,0.094,0.228,0.373,0.2,0.3,21.193,19.388,680,0.043
157,0.094,0.23,0.373,0.2,0.3,26.058,15.904,679,0.043
158,0.09,0.232,0.376,0.2,0.3,21.121,19.397,679,0.044
159,0.092,0.227,0.373,0.2,0.3,25.455,16.21,679,0.045
160,0.088,0.22,0.371,0.2,0.3,20.979,19.261,678,0.045
161,0.093,0.227,0.373,0.2,0.3,25.333,16.27,680,0.043
162,0.094,0.227,0.373,0.2,0.3,25.908,15.917,679,0.043
163,0.092,0.23,0.373,0.2,0.3,26.996,15.438,679,0.042
164,0.09,0.228,0.371,0.2,0.3,21.09,19.052,680,0.043
165,0.096,0.227,0.371,0.2,0.3,25.744,16.029,680,0.041
166,0.091,0.224,0.373,0.2,0.3,21.011,19.246,680,0.041
167,0.091,0.229,0.373,0.2,0.3,26.707,15.606,679,0.041
168,0.094,0.232,0.376,0.2,0.3,21.121,19.397,679,0.041
169,0.094,0.232,0.371,0.2,0.3,27.085,15.406,680,0.041
170,0.094,0.234,0.371,0.2,0.3,22.125,18.012,680,0.045
171,0.088,0.216,0.371,0.2,0.3,26.793,15.581,680,0.043
172,0.09,0.222,0.365,0.2,0.3,20.894,19.149,679,0.044
173,0.094,0.232,0.373,0.2,0.3,24.807,16.429,680,0.041
174,0.092,0.226,0.373,0.2,0.3,24.496,16.609,680,0.041
175,0.09,0.23,0.373,0.2,0.3,21.777,18.332,681,0.041
176,0.092,0.224,0.368,0.2,0.3,25.908,15.917,679,0.043
177,0.091,0.228,0.379,0.2,0.3,25.557,16.151,680,0.041
178,0.092,0.227,0.379,0.2,0.3,21.15,19.32,679,0.043
179,0.092,0.228,0.373,0.2,0.3,26.058,15.904,680,0.045
180,0.092,0.226,0.371,0.2,0.3,24.496,16.609,680,0.041
181,0.091,0.23,0.373,0.2,0.3,26.552,15.634,680,0.045
182,0.093,0.232,0.368,0.2,0.3,21.777,18.332,681,0.041
183,0.094,0.236,0.379,0.2,0.3,22.511,17.759,681,0.041
184,0.09,0.232,0.373,0.2,0.3,25.455,16.21,679,0.041
185,0.092,0.224,0.371,0.2,0.3,22.511,17.759,680,0.043
186,0.1,0.23,0.376,0.2,0.3,21.013,19.193,680,0.047
187,0.094,0.228,0.371,0.2,0.3,21.067,19.198,679,0.041
188,0.094,0.228,0.371,0.2,0.3,22.125,18.012,679,0.041
189,0.092,0.227,0.371,0.2,0.3,24.055,16.925,680,0.043
190,0.091,0.221,0.373,0.2,0.3,26.364,15.738,680,0.041
191,0.093,0.228,0.371,0.2,0.3,26.194,15.815,679,0.042
192,0.09,0.229,0.373,0.2,0.3,24.496,16.609,680,0.041
193,0.093,0.228,0.373,0.2,0.3,22.966,17.516,680,0.041
194,0.094,0.232,0.379,0.2,0.3,21.193,19.388,680,0.045
195,0.096,0.23,0.379,0.2,0.3,20.979,19.261,680,0.045
